clip_id,action_name,label,user,trial,Depth_Color,IR,Thermal,Skeleton,IMU,Radar,fold
0_Wash_face/user21/1-1-2,0_Wash_face,0,user21,1-1-2,Depth_Color/0_Wash_face/user21/1-1-2,IR/0_Wash_face/user21/1-1-2,Thermal/0_Wash_face/user21/1-1-2,Skeleton/0_Wash_face/user21/1-1-2,IMU/0_Wash_face/user21/1-1-2,Radar/0_Wash_face/user21/1-1-2,0
0_Wash_face/user21/1-1-3,0_Wash_face,0,user21,1-1-3,Depth_Color/0_Wash_face/user21/1-1-3,IR/0_Wash_face/user21/1-1-3,Thermal/0_Wash_face/user21/1-1-3,Skeleton/0_Wash_face/user21/1-1-3,IMU/0_Wash_face/user21/1-1-3,Radar/0_Wash_face/user21/1-1-3,0
0_Wash_face/user21/4-2-1,0_Wash_face,0,user21,4-2-1,Depth_Color/0_Wash_face/user21/4-2-1,IR/0_Wash_face/user21/4-2-1,Thermal/0_Wash_face/user21/4-2-1,Skeleton/0_Wash_face/user21/4-2-1,IMU/0_Wash_face/user21/4-2-1,Radar/0_Wash_face/user21/4-2-1,0
0_Wash_face/user21/4-2-2,0_Wash_face,0,user21,4-2-2,Depth_Color/0_Wash_face/user21/4-2-2,IR/0_Wash_face/user21/4-2-2,Thermal/0_Wash_face/user21/4-2-2,Skeleton/0_Wash_face/user21/4-2-2,IMU/0_Wash_face/user21/4-2-2,Radar/0_Wash_face/user21/4-2-2,0
0_Wash_face/user21/4-2-3,0_Wash_face,0,user21,4-2-3,Depth_Color/0_Wash_face/user21/4-2-3,IR/0_Wash_face/user21/4-2-3,Thermal/0_Wash_face/user21/4-2-3,Skeleton/0_Wash_face/user21/4-2-3,IMU/0_Wash_face/user21/4-2-3,Radar/0_Wash_face/user21/4-2-3,0
0_Wash_face/user22/1-1-2,0_Wash_face,0,user22,1-1-2,Depth_Color/0_Wash_face/user22/1-1-2,IR/0_Wash_face/user22/1-1-2,Thermal/0_Wash_face/user22/1-1-2,Skeleton/0_Wash_face/user22/1-1-2,IMU/0_Wash_face/user22/1-1-2,Radar/0_Wash_face/user22/1-1-2,1
0_Wash_face/user22/1-1-3,0_Wash_face,0,user22,1-1-3,Depth_Color/0_Wash_face/user22/1-1-3,IR/0_Wash_face/user22/1-1-3,Thermal/0_Wash_face/user22/1-1-3,Skeleton/0_Wash_face/user22/1-1-3,IMU/0_Wash_face/user22/1-1-3,Radar/0_Wash_face/user22/1-1-3,1
0_Wash_face/user22/2-2-1,0_Wash_face,0,user22,2-2-1,Depth_Color/0_Wash_face/user22/2-2-1,IR/0_Wash_face/user22/2-2-1,Thermal/0_Wash_face/user22/2-2-1,Skeleton/0_Wash_face/user22/2-2-1,IMU/0_Wash_face/user22/2-2-1,Radar/0_Wash_face/user22/2-2-1,1
0_Wash_face/user22/2-2-2,0_Wash_face,0,user22,2-2-2,Depth_Color/0_Wash_face/user22/2-2-2,IR/0_Wash_face/user22/2-2-2,Thermal/0_Wash_face/user22/2-2-2,Skeleton/0_Wash_face/user22/2-2-2,IMU/0_Wash_face/user22/2-2-2,Radar/0_Wash_face/user22/2-2-2,1
0_Wash_face/user22/2-2-3,0_Wash_face,0,user22,2-2-3,Depth_Color/0_Wash_face/user22/2-2-3,IR/0_Wash_face/user22/2-2-3,Thermal/0_Wash_face/user22/2-2-3,Skeleton/0_Wash_face/user22/2-2-3,IMU/0_Wash_face/user22/2-2-3,Radar/0_Wash_face/user22/2-2-3,1
0_Wash_face/user23/1-1-1,0_Wash_face,0,user23,1-1-1,Depth_Color/0_Wash_face/user23/1-1-1,IR/0_Wash_face/user23/1-1-1,Thermal/0_Wash_face/user23/1-1-1,Skeleton/0_Wash_face/user23/1-1-1,IMU/0_Wash_face/user23/1-1-1,Radar/0_Wash_face/user23/1-1-1,0
0_Wash_face/user23/1-1-2,0_Wash_face,0,user23,1-1-2,Depth_Color/0_Wash_face/user23/1-1-2,IR/0_Wash_face/user23/1-1-2,Thermal/0_Wash_face/user23/1-1-2,Skeleton/0_Wash_face/user23/1-1-2,IMU/0_Wash_face/user23/1-1-2,Radar/0_Wash_face/user23/1-1-2,0
0_Wash_face/user23/1-1-3,0_Wash_face,0,user23,1-1-3,Depth_Color/0_Wash_face/user23/1-1-3,IR/0_Wash_face/user23/1-1-3,Thermal/0_Wash_face/user23/1-1-3,Skeleton/0_Wash_face/user23/1-1-3,IMU/0_Wash_face/user23/1-1-3,Radar/0_Wash_face/user23/1-1-3,0
0_Wash_face/user24/6-2-1,0_Wash_face,0,user24,6-2-1,Depth_Color/0_Wash_face/user24/6-2-1,IR/0_Wash_face/user24/6-2-1,Thermal/0_Wash_face/user24/6-2-1,Skeleton/0_Wash_face/user24/6-2-1,IMU/0_Wash_face/user24/6-2-1,Radar/0_Wash_face/user24/6-2-1,2
0_Wash_face/user24/6-2-2,0_Wash_face,0,user24,6-2-2,Depth_Color/0_Wash_face/user24/6-2-2,IR/0_Wash_face/user24/6-2-2,Thermal/0_Wash_face/user24/6-2-2,Skeleton/0_Wash_face/user24/6-2-2,IMU/0_Wash_face/user24/6-2-2,Radar/0_Wash_face/user24/6-2-2,2
0_Wash_face/user24/6-2-3,0_Wash_face,0,user24,6-2-3,Depth_Color/0_Wash_face/user24/6-2-3,IR/0_Wash_face/user24/6-2-3,Thermal/0_Wash_face/user24/6-2-3,Skeleton/0_Wash_face/user24/6-2-3,IMU/0_Wash_face/user24/6-2-3,Radar/0_Wash_face/user24/6-2-3,2
0_Wash_face/user24/7-1-1,0_Wash_face,0,user24,7-1-1,Depth_Color/0_Wash_face/user24/7-1-1,IR/0_Wash_face/user24/7-1-1,Thermal/0_Wash_face/user24/7-1-1,Skeleton/0_Wash_face/user24/7-1-1,IMU/0_Wash_face/user24/7-1-1,Radar/0_Wash_face/user24/7-1-1,2
0_Wash_face/user24/7-1-2,0_Wash_face,0,user24,7-1-2,Depth_Color/0_Wash_face/user24/7-1-2,IR/0_Wash_face/user24/7-1-2,Thermal/0_Wash_face/user24/7-1-2,Skeleton/0_Wash_face/user24/7-1-2,IMU/0_Wash_face/user24/7-1-2,Radar/0_Wash_face/user24/7-1-2,2
0_Wash_face/user24/7-1-3,0_Wash_face,0,user24,7-1-3,Depth_Color/0_Wash_face/user24/7-1-3,IR/0_Wash_face/user24/7-1-3,Thermal/0_Wash_face/user24/7-1-3,Skeleton/0_Wash_face/user24/7-1-3,IMU/0_Wash_face/user24/7-1-3,Radar/0_Wash_face/user24/7-1-3,2
0_Wash_face/user4/1-1-1,0_Wash_face,0,user4,1-1-1,Depth_Color/0_Wash_face/user4/1-1-1,IR/0_Wash_face/user4/1-1-1,Thermal/0_Wash_face/user4/1-1-1,Skeleton/0_Wash_face/user4/1-1-1,IMU/0_Wash_face/user4/1-1-1,Radar/0_Wash_face/user4/1-1-1,1
0_Wash_face/user4/1-1-2,0_Wash_face,0,user4,1-1-2,Depth_Color/0_Wash_face/user4/1-1-2,IR/0_Wash_face/user4/1-1-2,Thermal/0_Wash_face/user4/1-1-2,Skeleton/0_Wash_face/user4/1-1-2,IMU/0_Wash_face/user4/1-1-2,Radar/0_Wash_face/user4/1-1-2,1
0_Wash_face/user4/1-1-3,0_Wash_face,0,user4,1-1-3,Depth_Color/0_Wash_face/user4/1-1-3,IR/0_Wash_face/user4/1-1-3,Thermal/0_Wash_face/user4/1-1-3,Skeleton/0_Wash_face/user4/1-1-3,IMU/0_Wash_face/user4/1-1-3,Radar/0_Wash_face/user4/1-1-3,1
0_Wash_face/user5/1-1-1,0_Wash_face,0,user5,1-1-1,Depth_Color/0_Wash_face/user5/1-1-1,IR/0_Wash_face/user5/1-1-1,Thermal/0_Wash_face/user5/1-1-1,Skeleton/0_Wash_face/user5/1-1-1,IMU/0_Wash_face/user5/1-1-1,Radar/0_Wash_face/user5/1-1-1,2
0_Wash_face/user5/1-1-2,0_Wash_face,0,user5,1-1-2,Depth_Color/0_Wash_face/user5/1-1-2,IR/0_Wash_face/user5/1-1-2,Thermal/0_Wash_face/user5/1-1-2,Skeleton/0_Wash_face/user5/1-1-2,IMU/0_Wash_face/user5/1-1-2,Radar/0_Wash_face/user5/1-1-2,2
0_Wash_face/user5/1-1-3,0_Wash_face,0,user5,1-1-3,Depth_Color/0_Wash_face/user5/1-1-3,IR/0_Wash_face/user5/1-1-3,Thermal/0_Wash_face/user5/1-1-3,Skeleton/0_Wash_face/user5/1-1-3,IMU/0_Wash_face/user5/1-1-3,Radar/0_Wash_face/user5/1-1-3,2
0_Wash_face/user6/1-1-1,0_Wash_face,0,user6,1-1-1,Depth_Color/0_Wash_face/user6/1-1-1,IR/0_Wash_face/user6/1-1-1,Thermal/0_Wash_face/user6/1-1-1,Skeleton/0_Wash_face/user6/1-1-1,IMU/0_Wash_face/user6/1-1-1,Radar/0_Wash_face/user6/1-1-1,1
0_Wash_face/user6/1-1-2,0_Wash_face,0,user6,1-1-2,Depth_Color/0_Wash_face/user6/1-1-2,IR/0_Wash_face/user6/1-1-2,Thermal/0_Wash_face/user6/1-1-2,Skeleton/0_Wash_face/user6/1-1-2,IMU/0_Wash_face/user6/1-1-2,Radar/0_Wash_face/user6/1-1-2,1
0_Wash_face/user6/1-1-3,0_Wash_face,0,user6,1-1-3,Depth_Color/0_Wash_face/user6/1-1-3,IR/0_Wash_face/user6/1-1-3,Thermal/0_Wash_face/user6/1-1-3,Skeleton/0_Wash_face/user6/1-1-3,IMU/0_Wash_face/user6/1-1-3,Radar/0_Wash_face/user6/1-1-3,1
0_Wash_face/user8/1-1-1,0_Wash_face,0,user8,1-1-1,Depth_Color/0_Wash_face/user8/1-1-1,IR/0_Wash_face/user8/1-1-1,,Skeleton/0_Wash_face/user8/1-1-1,IMU/0_Wash_face/user8/1-1-1,Radar/0_Wash_face/user8/1-1-1,2
0_Wash_face/user8/1-1-2,0_Wash_face,0,user8,1-1-2,Depth_Color/0_Wash_face/user8/1-1-2,IR/0_Wash_face/user8/1-1-2,,Skeleton/0_Wash_face/user8/1-1-2,IMU/0_Wash_face/user8/1-1-2,Radar/0_Wash_face/user8/1-1-2,2
0_Wash_face/user8/1-1-3,0_Wash_face,0,user8,1-1-3,Depth_Color/0_Wash_face/user8/1-1-3,IR/0_Wash_face/user8/1-1-3,,Skeleton/0_Wash_face/user8/1-1-3,IMU/0_Wash_face/user8/1-1-3,Radar/0_Wash_face/user8/1-1-3,2
0_Wash_face/user8/7-1-1,0_Wash_face,0,user8,7-1-1,Depth_Color/0_Wash_face/user8/7-1-1,IR/0_Wash_face/user8/7-1-1,Thermal/0_Wash_face/user8/7-1-1,Skeleton/0_Wash_face/user8/7-1-1,IMU/0_Wash_face/user8/7-1-1,Radar/0_Wash_face/user8/7-1-1,2
0_Wash_face/user8/7-1-2,0_Wash_face,0,user8,7-1-2,Depth_Color/0_Wash_face/user8/7-1-2,IR/0_Wash_face/user8/7-1-2,Thermal/0_Wash_face/user8/7-1-2,Skeleton/0_Wash_face/user8/7-1-2,IMU/0_Wash_face/user8/7-1-2,Radar/0_Wash_face/user8/7-1-2,2
0_Wash_face/user8/7-1-3,0_Wash_face,0,user8,7-1-3,Depth_Color/0_Wash_face/user8/7-1-3,IR/0_Wash_face/user8/7-1-3,Thermal/0_Wash_face/user8/7-1-3,Skeleton/0_Wash_face/user8/7-1-3,IMU/0_Wash_face/user8/7-1-3,Radar/0_Wash_face/user8/7-1-3,2
1_Brush_teeth/user16/1-1-1,1_Brush_teeth,1,user16,1-1-1,Depth_Color/1_Brush_teeth/user16/1-1-1,IR/1_Brush_teeth/user16/1-1-1,Thermal/1_Brush_teeth/user16/1-1-1,Skeleton/1_Brush_teeth/user16/1-1-1,IMU/1_Brush_teeth/user16/1-1-1,Radar/1_Brush_teeth/user16/1-1-1,0
1_Brush_teeth/user16/1-1-2,1_Brush_teeth,1,user16,1-1-2,Depth_Color/1_Brush_teeth/user16/1-1-2,IR/1_Brush_teeth/user16/1-1-2,Thermal/1_Brush_teeth/user16/1-1-2,Skeleton/1_Brush_teeth/user16/1-1-2,IMU/1_Brush_teeth/user16/1-1-2,Radar/1_Brush_teeth/user16/1-1-2,0
1_Brush_teeth/user16/1-1-3,1_Brush_teeth,1,user16,1-1-3,Depth_Color/1_Brush_teeth/user16/1-1-3,IR/1_Brush_teeth/user16/1-1-3,Thermal/1_Brush_teeth/user16/1-1-3,Skeleton/1_Brush_teeth/user16/1-1-3,IMU/1_Brush_teeth/user16/1-1-3,Radar/1_Brush_teeth/user16/1-1-3,0
1_Brush_teeth/user17/1-1-1,1_Brush_teeth,1,user17,1-1-1,Depth_Color/1_Brush_teeth/user17/1-1-1,IR/1_Brush_teeth/user17/1-1-1,Thermal/1_Brush_teeth/user17/1-1-1,Skeleton/1_Brush_teeth/user17/1-1-1,IMU/1_Brush_teeth/user17/1-1-1,Radar/1_Brush_teeth/user17/1-1-1,2
1_Brush_teeth/user17/1-1-2,1_Brush_teeth,1,user17,1-1-2,Depth_Color/1_Brush_teeth/user17/1-1-2,IR/1_Brush_teeth/user17/1-1-2,Thermal/1_Brush_teeth/user17/1-1-2,Skeleton/1_Brush_teeth/user17/1-1-2,IMU/1_Brush_teeth/user17/1-1-2,Radar/1_Brush_teeth/user17/1-1-2,2
1_Brush_teeth/user17/1-1-3,1_Brush_teeth,1,user17,1-1-3,Depth_Color/1_Brush_teeth/user17/1-1-3,IR/1_Brush_teeth/user17/1-1-3,Thermal/1_Brush_teeth/user17/1-1-3,Skeleton/1_Brush_teeth/user17/1-1-3,IMU/1_Brush_teeth/user17/1-1-3,Radar/1_Brush_teeth/user17/1-1-3,2
1_Brush_teeth/user18/1-1-1,1_Brush_teeth,1,user18,1-1-1,Depth_Color/1_Brush_teeth/user18/1-1-1,IR/1_Brush_teeth/user18/1-1-1,Thermal/1_Brush_teeth/user18/1-1-1,Skeleton/1_Brush_teeth/user18/1-1-1,IMU/1_Brush_teeth/user18/1-1-1,Radar/1_Brush_teeth/user18/1-1-1,1
1_Brush_teeth/user18/1-1-2,1_Brush_teeth,1,user18,1-1-2,Depth_Color/1_Brush_teeth/user18/1-1-2,IR/1_Brush_teeth/user18/1-1-2,Thermal/1_Brush_teeth/user18/1-1-2,Skeleton/1_Brush_teeth/user18/1-1-2,IMU/1_Brush_teeth/user18/1-1-2,Radar/1_Brush_teeth/user18/1-1-2,1
1_Brush_teeth/user18/1-1-3,1_Brush_teeth,1,user18,1-1-3,Depth_Color/1_Brush_teeth/user18/1-1-3,IR/1_Brush_teeth/user18/1-1-3,Thermal/1_Brush_teeth/user18/1-1-3,Skeleton/1_Brush_teeth/user18/1-1-3,IMU/1_Brush_teeth/user18/1-1-3,Radar/1_Brush_teeth/user18/1-1-3,1
1_Brush_teeth/user18/7-1-1,1_Brush_teeth,1,user18,7-1-1,Depth_Color/1_Brush_teeth/user18/7-1-1,IR/1_Brush_teeth/user18/7-1-1,Thermal/1_Brush_teeth/user18/7-1-1,Skeleton/1_Brush_teeth/user18/7-1-1,IMU/1_Brush_teeth/user18/7-1-1,Radar/1_Brush_teeth/user18/7-1-1,1
1_Brush_teeth/user18/7-1-2,1_Brush_teeth,1,user18,7-1-2,Depth_Color/1_Brush_teeth/user18/7-1-2,IR/1_Brush_teeth/user18/7-1-2,Thermal/1_Brush_teeth/user18/7-1-2,Skeleton/1_Brush_teeth/user18/7-1-2,IMU/1_Brush_teeth/user18/7-1-2,Radar/1_Brush_teeth/user18/7-1-2,1
1_Brush_teeth/user18/7-1-3,1_Brush_teeth,1,user18,7-1-3,Depth_Color/1_Brush_teeth/user18/7-1-3,IR/1_Brush_teeth/user18/7-1-3,Thermal/1_Brush_teeth/user18/7-1-3,Skeleton/1_Brush_teeth/user18/7-1-3,IMU/1_Brush_teeth/user18/7-1-3,Radar/1_Brush_teeth/user18/7-1-3,1
1_Brush_teeth/user19/1-1-1,1_Brush_teeth,1,user19,1-1-1,Depth_Color/1_Brush_teeth/user19/1-1-1,IR/1_Brush_teeth/user19/1-1-1,Thermal/1_Brush_teeth/user19/1-1-1,Skeleton/1_Brush_teeth/user19/1-1-1,IMU/1_Brush_teeth/user19/1-1-1,Radar/1_Brush_teeth/user19/1-1-1,2
1_Brush_teeth/user19/1-1-2,1_Brush_teeth,1,user19,1-1-2,Depth_Color/1_Brush_teeth/user19/1-1-2,IR/1_Brush_teeth/user19/1-1-2,Thermal/1_Brush_teeth/user19/1-1-2,Skeleton/1_Brush_teeth/user19/1-1-2,IMU/1_Brush_teeth/user19/1-1-2,Radar/1_Brush_teeth/user19/1-1-2,2
1_Brush_teeth/user19/1-1-3,1_Brush_teeth,1,user19,1-1-3,Depth_Color/1_Brush_teeth/user19/1-1-3,IR/1_Brush_teeth/user19/1-1-3,Thermal/1_Brush_teeth/user19/1-1-3,Skeleton/1_Brush_teeth/user19/1-1-3,IMU/1_Brush_teeth/user19/1-1-3,Radar/1_Brush_teeth/user19/1-1-3,2
1_Brush_teeth/user20/4-2-1,1_Brush_teeth,1,user20,4-2-1,Depth_Color/1_Brush_teeth/user20/4-2-1,IR/1_Brush_teeth/user20/4-2-1,Thermal/1_Brush_teeth/user20/4-2-1,Skeleton/1_Brush_teeth/user20/4-2-1,IMU/1_Brush_teeth/user20/4-2-1,Radar/1_Brush_teeth/user20/4-2-1,0
1_Brush_teeth/user20/4-2-2,1_Brush_teeth,1,user20,4-2-2,Depth_Color/1_Brush_teeth/user20/4-2-2,IR/1_Brush_teeth/user20/4-2-2,Thermal/1_Brush_teeth/user20/4-2-2,Skeleton/1_Brush_teeth/user20/4-2-2,IMU/1_Brush_teeth/user20/4-2-2,Radar/1_Brush_teeth/user20/4-2-2,0
1_Brush_teeth/user20/4-2-3,1_Brush_teeth,1,user20,4-2-3,Depth_Color/1_Brush_teeth/user20/4-2-3,IR/1_Brush_teeth/user20/4-2-3,Thermal/1_Brush_teeth/user20/4-2-3,Skeleton/1_Brush_teeth/user20/4-2-3,IMU/1_Brush_teeth/user20/4-2-3,Radar/1_Brush_teeth/user20/4-2-3,0
1_Brush_teeth/user21/4-2-1,1_Brush_teeth,1,user21,4-2-1,Depth_Color/1_Brush_teeth/user21/4-2-1,IR/1_Brush_teeth/user21/4-2-1,Thermal/1_Brush_teeth/user21/4-2-1,Skeleton/1_Brush_teeth/user21/4-2-1,IMU/1_Brush_teeth/user21/4-2-1,Radar/1_Brush_teeth/user21/4-2-1,0
1_Brush_teeth/user21/4-2-2,1_Brush_teeth,1,user21,4-2-2,Depth_Color/1_Brush_teeth/user21/4-2-2,IR/1_Brush_teeth/user21/4-2-2,Thermal/1_Brush_teeth/user21/4-2-2,Skeleton/1_Brush_teeth/user21/4-2-2,IMU/1_Brush_teeth/user21/4-2-2,Radar/1_Brush_teeth/user21/4-2-2,0
1_Brush_teeth/user21/4-2-3,1_Brush_teeth,1,user21,4-2-3,Depth_Color/1_Brush_teeth/user21/4-2-3,IR/1_Brush_teeth/user21/4-2-3,Thermal/1_Brush_teeth/user21/4-2-3,Skeleton/1_Brush_teeth/user21/4-2-3,IMU/1_Brush_teeth/user21/4-2-3,Radar/1_Brush_teeth/user21/4-2-3,0
1_Brush_teeth/user22/1-1-2,1_Brush_teeth,1,user22,1-1-2,Depth_Color/1_Brush_teeth/user22/1-1-2,IR/1_Brush_teeth/user22/1-1-2,Thermal/1_Brush_teeth/user22/1-1-2,Skeleton/1_Brush_teeth/user22/1-1-2,IMU/1_Brush_teeth/user22/1-1-2,Radar/1_Brush_teeth/user22/1-1-2,1
1_Brush_teeth/user22/1-1-3,1_Brush_teeth,1,user22,1-1-3,Depth_Color/1_Brush_teeth/user22/1-1-3,IR/1_Brush_teeth/user22/1-1-3,Thermal/1_Brush_teeth/user22/1-1-3,Skeleton/1_Brush_teeth/user22/1-1-3,IMU/1_Brush_teeth/user22/1-1-3,Radar/1_Brush_teeth/user22/1-1-3,1
1_Brush_teeth/user22/2-2-1,1_Brush_teeth,1,user22,2-2-1,Depth_Color/1_Brush_teeth/user22/2-2-1,IR/1_Brush_teeth/user22/2-2-1,Thermal/1_Brush_teeth/user22/2-2-1,Skeleton/1_Brush_teeth/user22/2-2-1,IMU/1_Brush_teeth/user22/2-2-1,Radar/1_Brush_teeth/user22/2-2-1,1
1_Brush_teeth/user22/2-2-2,1_Brush_teeth,1,user22,2-2-2,Depth_Color/1_Brush_teeth/user22/2-2-2,IR/1_Brush_teeth/user22/2-2-2,Thermal/1_Brush_teeth/user22/2-2-2,Skeleton/1_Brush_teeth/user22/2-2-2,IMU/1_Brush_teeth/user22/2-2-2,Radar/1_Brush_teeth/user22/2-2-2,1
1_Brush_teeth/user22/2-2-3,1_Brush_teeth,1,user22,2-2-3,Depth_Color/1_Brush_teeth/user22/2-2-3,IR/1_Brush_teeth/user22/2-2-3,Thermal/1_Brush_teeth/user22/2-2-3,Skeleton/1_Brush_teeth/user22/2-2-3,IMU/1_Brush_teeth/user22/2-2-3,Radar/1_Brush_teeth/user22/2-2-3,1
1_Brush_teeth/user23/1-1-1,1_Brush_teeth,1,user23,1-1-1,Depth_Color/1_Brush_teeth/user23/1-1-1,IR/1_Brush_teeth/user23/1-1-1,,Skeleton/1_Brush_teeth/user23/1-1-1,IMU/1_Brush_teeth/user23/1-1-1,Radar/1_Brush_teeth/user23/1-1-1,0
1_Brush_teeth/user23/1-1-2,1_Brush_teeth,1,user23,1-1-2,Depth_Color/1_Brush_teeth/user23/1-1-2,IR/1_Brush_teeth/user23/1-1-2,,Skeleton/1_Brush_teeth/user23/1-1-2,IMU/1_Brush_teeth/user23/1-1-2,Radar/1_Brush_teeth/user23/1-1-2,0
1_Brush_teeth/user23/1-1-3,1_Brush_teeth,1,user23,1-1-3,Depth_Color/1_Brush_teeth/user23/1-1-3,IR/1_Brush_teeth/user23/1-1-3,,Skeleton/1_Brush_teeth/user23/1-1-3,IMU/1_Brush_teeth/user23/1-1-3,Radar/1_Brush_teeth/user23/1-1-3,0
1_Brush_teeth/user23/1-2-1,1_Brush_teeth,1,user23,1-2-1,,,Thermal/1_Brush_teeth/user23/1-2-1,,,,0
1_Brush_teeth/user23/1-2-2,1_Brush_teeth,1,user23,1-2-2,,,Thermal/1_Brush_teeth/user23/1-2-2,,,,0
1_Brush_teeth/user23/1-2-3,1_Brush_teeth,1,user23,1-2-3,,,Thermal/1_Brush_teeth/user23/1-2-3,,,,0
1_Brush_teeth/user24/6-2-1,1_Brush_teeth,1,user24,6-2-1,Depth_Color/1_Brush_teeth/user24/6-2-1,IR/1_Brush_teeth/user24/6-2-1,Thermal/1_Brush_teeth/user24/6-2-1,Skeleton/1_Brush_teeth/user24/6-2-1,IMU/1_Brush_teeth/user24/6-2-1,Radar/1_Brush_teeth/user24/6-2-1,2
1_Brush_teeth/user24/6-2-2,1_Brush_teeth,1,user24,6-2-2,Depth_Color/1_Brush_teeth/user24/6-2-2,IR/1_Brush_teeth/user24/6-2-2,Thermal/1_Brush_teeth/user24/6-2-2,Skeleton/1_Brush_teeth/user24/6-2-2,IMU/1_Brush_teeth/user24/6-2-2,Radar/1_Brush_teeth/user24/6-2-2,2
1_Brush_teeth/user24/6-2-3,1_Brush_teeth,1,user24,6-2-3,Depth_Color/1_Brush_teeth/user24/6-2-3,IR/1_Brush_teeth/user24/6-2-3,Thermal/1_Brush_teeth/user24/6-2-3,Skeleton/1_Brush_teeth/user24/6-2-3,IMU/1_Brush_teeth/user24/6-2-3,Radar/1_Brush_teeth/user24/6-2-3,2
1_Brush_teeth/user24/7-1-1,1_Brush_teeth,1,user24,7-1-1,Depth_Color/1_Brush_teeth/user24/7-1-1,IR/1_Brush_teeth/user24/7-1-1,Thermal/1_Brush_teeth/user24/7-1-1,Skeleton/1_Brush_teeth/user24/7-1-1,IMU/1_Brush_teeth/user24/7-1-1,Radar/1_Brush_teeth/user24/7-1-1,2
1_Brush_teeth/user24/7-1-2,1_Brush_teeth,1,user24,7-1-2,Depth_Color/1_Brush_teeth/user24/7-1-2,IR/1_Brush_teeth/user24/7-1-2,,Skeleton/1_Brush_teeth/user24/7-1-2,IMU/1_Brush_teeth/user24/7-1-2,Radar/1_Brush_teeth/user24/7-1-2,2
